Name,Season,Month,Maximum Sustained Wind,Minimum pressure
Cuba,1924,october,165,910
San Felipe,1928,september,160,929
Bahamas,1932,september,160,921
Cuba,1932,november,175,915
Cuba-Brownsville,1933,august,160,930
Tampico,1933,september,160,929
Labor Day,1935,september,185,892
New England,1938,september,160,940
Carol,1953,september,160,929
Janet,1955,september,175,914
Carla,1961,september,175,931
Hattie,1961,october,160,920
Beulah,1967,september,160,923
Camille,1969,august,175,900
Edith,1971,september,160,943
Anita,1977,september,175,926
David,1979,august,175,924
Allen,1980,august,190,899
Gilbert,1988,september,185,888
Hugo,1989,september,160,918
Andrew,1992,august,175,922
Mitch,1998,october,180,905
Isabel,2003,september,165,915
Ivan,2004,september,165,910
Emily,2005,july,160,929
Katrina,2005,august,175,902
Rita,2005,september,180,895
Dean,2007,august,175,905
Felix,2007,september,175,929
Wilma,2015,october,185,882
Mathew,2016,october,165,934
Irma,2017,september,180,914
Maria,2017,september,175,908
